,all,all,all,all,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6437034473666863,0.44871794871794873,0.8386889460154241,0.8031542056074766,0.6391830985915492,0.384,0.8943661971830986,0.8530744336569579,0.48351518026565465,0.0,1.0,0.8143712574850299
linreg,0.6653977984312175,0.5705128205128205,0.7602827763496144,0.7429906542056075,0.6736338028169014,0.536,0.8112676056338028,0.7889967637540453,0.4688092979127135,0.0,1.0,0.8143712574850299
SVR10,0.5115269263726847,0.03205128205128205,0.9910025706940874,0.9036214953271028,0.5164788732394366,0.04,0.9929577464788732,0.9158576051779935,0.4852941176470588,0.0,1.0,0.8143712574850299
ridge,0.6673093401885176,0.5833333333333334,0.7512853470437018,0.735981308411215,0.6727042253521127,0.544,0.8014084507042254,0.7805825242718447,0.484938330170778,0.0,1.0,0.8143712574850299
