,all,all,all,all,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7155637254901961,0.7375,0.6936274509803921,0.695677570093458,0.7216207856480049,0.6885245901639344,0.7547169811320755,0.7521035598705501,0.4879089615931721,0.0,1.0,0.8862275449101796
linreg,0.7158700980392158,0.7375,0.6942401960784313,0.6962616822429907,0.7219577128717245,0.6885245901639344,0.7553908355795148,0.7527508090614887,0.4879089615931721,0.0,1.0,0.8862275449101796
SVR10,0.7142156862745098,0.725,0.7034313725490196,0.7044392523364486,0.7188148999160444,0.6721311475409836,0.7654986522911051,0.7618122977346279,0.4879089615931721,0.0,1.0,0.8862275449101796
ridge,0.7158700980392158,0.7375,0.6942401960784313,0.6962616822429907,0.7219577128717245,0.6885245901639344,0.7553908355795148,0.7527508090614887,0.4879089615931721,0.0,1.0,0.8862275449101796
