,all,all,all,all,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6756394048429446,0.6692307692307692,0.6820480404551201,0.6810747663551402,0.6688626907073508,0.6019417475728155,0.7357836338418863,0.7268608414239482,0.5272486772486772,0.9259259259259259,0.12857142857142856,0.25748502994011974
linreg,0.6756394048429446,0.6692307692307692,0.6820480404551201,0.6810747663551402,0.6688626907073508,0.6019417475728155,0.7357836338418863,0.7268608414239482,0.5272486772486772,0.9259259259259259,0.12857142857142856,0.25748502994011974
SVR10,0.6756394048429446,0.6692307692307692,0.6820480404551201,0.6810747663551402,0.6688626907073508,0.6019417475728155,0.7357836338418863,0.7268608414239482,0.5272486772486772,0.9259259259259259,0.12857142857142856,0.25748502994011974
ridge,0.6756394048429446,0.6692307692307692,0.6820480404551201,0.6810747663551402,0.6688626907073508,0.6019417475728155,0.7357836338418863,0.7268608414239482,0.5272486772486772,0.9259259259259259,0.12857142857142856,0.25748502994011974
