,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7321989303791431,0.7624324324324325,0.6447879858657241,0.6520066334991707
SVC,0.6498536433960465,0.5967567567567564,0.7029505300353357,0.6964344941956881
linreg,0.6990850921592969,0.6943243243243247,0.6770848056537103,0.6781426202321726
