,all,all,all,all,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6580841928896801,0.5633802816901409,0.7527881040892194,0.7307060755336617,0.6270833333333333,0.4,0.8541666666666666,0.8070539419087137,0.6460017969451932,0.9523809523809523,0.339622641509434,0.4409448818897638
linreg,0.667417142258757,0.6619718309859155,0.6728624535315986,0.6715927750410509,0.6673148148148148,0.58,0.7546296296296297,0.7365145228215768,0.5983827493261455,0.8571428571428571,0.339622641509434,0.4251968503937008
SVR10,0.5164799204146814,0.04225352112676056,0.9907063197026023,0.8801313628899836,0.5153703703703704,0.04,0.9907407407407407,0.8921161825726142,0.5190925426774483,0.047619047619047616,0.9905660377358491,0.8346456692913385
ridge,0.6664877742290172,0.6619718309859155,0.671003717472119,0.6699507389162561,0.6673148148148148,0.58,0.7546296296296297,0.7365145228215768,0.59366576819407,0.8571428571428571,0.33018867924528306,0.41732283464566927
