,all,all,all,all,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6375695548489667,0.7058823529411765,0.5692567567567568,0.5730706075533661,0.6408994402624976,0.6363636363636364,0.6454352441613589,0.6452282157676349,0.553030303030303,0.8333333333333334,0.2727272727272727,0.2992125984251969
linreg,0.6500894276629571,0.7647058823529411,0.535472972972973,0.541871921182266,0.6651225632117352,0.7272727272727273,0.6029723991507431,0.6058091286307054,0.553030303030303,0.8333333333333334,0.2727272727272727,0.2992125984251969
SVR10,0.7311705087440381,0.7647058823529411,0.6976351351351351,0.6995073891625616,0.7532329666087628,0.7272727272727273,0.7791932059447984,0.7780082987551867,0.6067493112947658,0.8333333333333334,0.3801652892561983,0.4015748031496063
ridge,0.6500894276629571,0.7647058823529411,0.535472972972973,0.541871921182266,0.6651225632117352,0.7272727272727273,0.6029723991507431,0.6058091286307054,0.553030303030303,0.8333333333333334,0.2727272727272727,0.2992125984251969
