,all,all,all,all,all,all,no revasc,no revasc,no revasc,no revasc,no revasc,no revasc,with revasc,with revasc,with revasc,with revasc,with revasc,with revasc
,Test AUC,Sensitivity,Specificity,Accuracy,Model,Model Version,Test AUC,Sensitivity,Specificity,Accuracy,Model,Model Version,Test AUC,Sensitivity,Specificity,Accuracy,Model,Model Version
all,0.90417193426043,1.0,0.8070796460176991,0.8094405594405595,ridge,_pet_basic_pca_event 2 years.csv,0.9385790172642762,1.0,0.8665338645418327,0.8681102362204725,ridge,_pet_basic_pca_event 2 years.csv,0.9041666666666668,1.0,0.8666666666666667,0.875,linreg,_cta_ctapca_event 4 years.csv
only pet,0.7929648241206031,1.0,0.6231155778894473,0.6323529411764706,linreg,_only_pet_pet_basic_event 2 years.csv,0.8682432432432433,1.0,0.7162162162162162,0.7236842105263158,linreg,_only_pet_pet_basic_event 2 years.csv,0.9251700680272108,1.0,0.8979591836734694,0.903846153846154,lasso,_only_pet_pet_cta_event 4 years.csv
