,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7350791552853408,0.8260416666666668,0.6752273328046525,0.6816043658842846
linreg,0.6973986694862984,0.8548611111111111,0.5768001586042824,0.5885649087221095
SVR10,0.5895028747026172,0.6298611111111112,0.6757123975680678,0.6742158070124602
ridge,0.6974611382794371,0.8548611111111111,0.5768008194554588,0.5885655124118613
