,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6853568045642789,0.7041666666666668,0.7461558287073753,0.7442697768762676
linreg,0.6722280413839693,0.6892361111111112,0.7017347343378273,0.7011488215976047
SVR10,0.5084815842805535,0.6020833333333333,0.6338924134284959,0.632161571525162
ridge,0.6729767857667341,0.692013888888889,0.7015939730372722,0.7011421810103351
