,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7095248180843116,0.8446969696969695,0.5852728239528796,0.6002837341833286
linreg,0.7192325279546117,0.8100378787878789,0.6164185209424082,0.6274684873949579
SVR10,0.5914748918752314,0.7598484848484847,0.5281563590750435,0.541569472616633
ridge,0.7192406466084273,0.8100378787878789,0.6165494109947642,0.6275916401043173
