,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6916459310463932,0.7393939393939395,0.6774650959860382,0.6809807543707139
linreg,0.6048122235939237,0.6465909090909091,0.6694671684118674,0.6681982275668891
SVR10,0.4508364382536092,0.4157196969696969,0.7466609402268761,0.7276429537332175
ridge,0.6054068478469246,0.6528409090909091,0.6641204461169283,0.6635365353037768
