,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6047672038221034,0.34464804063860666,0.8672034131571701,0.8191768826619965
linreg,0.5974031124596207,0.43171262699564583,0.775385635428988,0.7438266199649737
SVR10,0.42331761720258276,0.30097968069666187,0.750589100661355,0.7092381786339754
ridge,0.5976914970473429,0.4331640058055152,0.7743264631270412,0.7429947460595446
