,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.6540940000000001,0.6880000000000002,0.6154999999999999,0.6235555555555556
SVC,0.6125249999999999,0.5752000000000002,0.64985,0.6415555555555557
linreg,0.647962,0.688,0.613,0.6213333333333332
