,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7820058806891836,0.8605357142857144,0.6447994555353904,0.6524518388791595
linreg,0.7476253073907341,0.8261904761904761,0.6610026398284111,0.6668563922942208
SVR10,0.4748748202795389,0.4591666666666666,0.7443081174723643,0.7341943957968476
ridge,0.7478305619063333,0.8299404761904761,0.6572828741131828,0.663397548161121
