,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7843787348465205,0.86625,0.638071357861739,0.6461908931698775
linreg,0.7623469331636301,0.8033333333333335,0.6844657647252929,0.6887040280210158
SVR10,0.48417577250335864,0.4801785714285713,0.6785143540669858,0.6714973730297722
ridge,0.7628009011557106,0.8020833333333334,0.6865529615574988,0.6906742556917689
