,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7327728892849185,0.7161194029850745,0.6646641791044776,0.6703814262023217
SVC,0.6677611940298509,0.6494029850746269,0.6861194029850743,0.6820398009950245
linreg,0.72488165515705,0.744328358208955,0.6326119402985076,0.6450248756218905
