,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7699108252606438,0.8724404761904762,0.6273629764065337,0.6360770577933449
linreg,0.7735707745067999,0.8466666666666669,0.6530172413793103,0.6598949211908932
SVR10,0.6054979042433668,0.7172023809523812,0.5640046196997196,0.5694395796847638
ridge,0.7735664455024708,0.8466666666666669,0.6530626134301271,0.6599387040280211
