,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7791819674578293,0.8540476190476192,0.6393081174723643,0.6469352014010508
linreg,0.6797158531124048,0.6850000000000002,0.7161553374030689,0.715061295971979
SVR10,0.3550410351898555,0.28374999999999995,0.817909008414453,0.7989054290718041
ridge,0.6812815424140288,0.6606547619047619,0.7473930044547105,0.7443082311733802
