,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7715255605196346,0.8180886243386244,0.6572357240548152,0.6649299474605954
linreg,0.7458942746834769,0.8034060846560847,0.6567676172679016,0.6637915936952714
SVR10,0.3739295156943994,0.44265873015873003,0.662173992525187,0.6518388791593697
ridge,0.7457373867095948,0.7814484126984127,0.6792965787834471,0.6841943957968477
