,Test AUC,Sensitivity,Specificity,Accuracy
lasso,0.7255674642670142,0.7307870370370371,0.6429276182157946,0.6471541155866898
linreg,0.7066613977735047,0.7067460317460318,0.6515132434189146,0.6541155866900175
SVR10,0.5174155592063405,0.38763227513227505,0.7713801490900228,0.7531085814360772
ridge,0.7070130753344924,0.7234126984126985,0.6355663829758422,0.6397110332749563
