,0
sex,-0.0002548671878829886
age,-0.0013158031445991152
bmi,-0.002499247013218898
smoking,0.0008481328727973232
diabetes,0.0014191409839578344
hypertension,4.1354972398198736e-05
dyslipidemia,-0.0008018511525153836
chestpain,0.001445204222847553
dyspnea,-0.0010442381464948968
lm - type of stenosis,-0.0004911460241078939
lada - type of stenosis,-0.001667658424395727
ladb - type of stenosis,0.00027474937026369706
ladc - type of stenosis,0.0006017573283903942
d1 - type of stenosis,0.0007208996444690835
d2 - type of stenosis,0.0008017357865405941
lcxa - type of stenosis,-0.00019338946694753928
lcxb - type of stenosis,0.00143047119687686
lcxc -type of stenosis,-0.00024488278013653825
lpd - type of stenosis,-9.236560763693893e-05
lom1 - type of stenosis,-0.0004127997547023523
lom2 - type of stenosis,9.424476870014118e-05
im - type of stenosis,0.00021588171084948606
lpl - type of stenosis,-0.0009422532693091349
rcaa - type of stenosis,-0.0003282258329135633
rcab - type of stenosis,0.0008858118357724595
rcac - type of stenosis,-0.0003469620221608343
rpd - type of stenosis,8.40484266492226e-05
rpl - type of stenosis,0.0008363618255769368
str_seg_1,-0.00548412530545844
str_seg_4,-0.0048537357315363815
str_seg_5,0.0023394466697806574
str_seg_6,0.002793845625764807
str_seg_7,0.0037138752173609913
str_seg_8,0.002379251529156199
str_seg_9,0.0010231302150318713
str_seg_10,-0.0026416216604406824
str_seg_11,0.0007503334613873061
str_seg_12,-0.00165105272694121
str_seg_13,-0.003174120092457157
str_seg_14,0.0038522292734510326
str_seg_15,0.004972627406105871
str_seg_16,-0.0020821354465664224
str_seg_17,-0.001213698569403469
stenosis type 1 count,4.146390127249415e-06
stenosis type 2 count,-0.00014430418686644912
max cta type,0.0031428484811041194
max high risk cta type,0.0020883176084649474
sis,-0.00022206900494188856
max_str_seg,0.006744527346870937
max_lad_str,-0.0010124408037523022
max_lcx_str,-0.003300945733776014
max_rca_str,0.0015361544690573078
non-zero pet segs,0.0009770649936025918
PET PCA1,0.0001249740619385212
PET PCA2,-0.000639832994318028
