,0
sex,-0.0022008523268620865
age,0.002521582081591247
bmi,-0.002024018427454232
smoking,0.0018220406212932027
diabetes,0.0013955390117079307
hypertension,-0.0012865439379018883
dyslipidemia,-0.0014559306377924257
chestpain,0.0016477020822558072
dyspnea,-0.0017488181457215803
str_seg_1,-0.005238041446459842
str_seg_4,-0.0037759647262228337
str_seg_5,-0.0003855573688945445
str_seg_6,0.0032334027948328
str_seg_7,0.003236007150142025
str_seg_8,0.004568328157990895
str_seg_9,-0.002070901409181181
str_seg_10,-0.004535768135775075
str_seg_11,2.8385199739018714e-05
str_seg_12,0.0002718123367940617
str_seg_13,-0.0009469581139436156
str_seg_14,-0.0016543090105974971
str_seg_15,0.006419176093501478
str_seg_16,-0.0003845617506879839
str_seg_17,-0.0028248743066754236
max_str_seg,0.004607746973785159
max_lad_str,0.00119055522524284
max_lcx_str,-0.0008553222851397964
max_rca_str,0.005801166537924774
non-zero pet segs,-0.0010503009717599456
