,0
str_seg_1,-0.0006281266098515559
str_seg_4,0.0019212832996977898
str_seg_5,-0.0009778663587625904
str_seg_6,0.0004174334041923846
str_seg_7,-0.0005626246744198728
str_seg_8,-0.00015024243630695284
str_seg_9,0.002266116822946051
str_seg_10,-2.1214524542546382e-05
str_seg_11,-0.005155112214910683
str_seg_12,0.003935105944733275
str_seg_13,-0.0015072460204843833
str_seg_14,-0.002073054769711538
str_seg_15,0.004852519585459392
str_seg_16,-0.0015039340186272577
str_seg_17,-0.00020145445559029834
max_str_seg,0.0016358129201500735
max_lad_str,0.0016124574790334707
max_lcx_str,-0.001630250910064841
max_rca_str,-0.0033121580153758143
non-zero pet segs,-0.001074787073609743
PCA1,0.0014733506643132836
PCA2,0.00037356205010733205
