,0
str_seg_1,-0.0017830171926620428
str_seg_4,0.0014071112292623551
str_seg_5,0.0017776622301655363
str_seg_6,0.0029433897913665324
str_seg_7,0.0032173963854201467
str_seg_8,-0.0019487737802635972
str_seg_9,0.0028368584927246756
str_seg_10,0.00037368494996793125
str_seg_11,-0.00410959352845668
str_seg_12,-0.002620875356490713
str_seg_13,-0.005656595350688211
str_seg_14,-0.0011279978648505121
str_seg_15,0.004536120517111611
str_seg_16,0.0009727264138358225
str_seg_17,0.0002912846469926047
max_str_seg,0.003191605123242163
max_lad_str,0.0022103579231684046
max_lcx_str,-0.002939345164157453
max_rca_str,-0.0025389068212777225
non-zero pet segs,-0.0025408592082236253
PCA1,0.001111904296057799
PCA2,0.0008732177084656032
