,0
str_seg_1,-0.0024063042331420063
str_seg_4,0.0009506309507300066
str_seg_5,-0.0011236481819498587
str_seg_6,0.0027334070011775457
str_seg_7,0.0011339243759322605
str_seg_8,-0.0022989117765982075
str_seg_9,0.003891935742627655
str_seg_10,0.001093814345796176
str_seg_11,-0.0034321974900456747
str_seg_12,-0.00027739195517106533
str_seg_13,-0.0022163223734550782
str_seg_14,-0.0010829640612002671
str_seg_15,0.0026809816573513884
str_seg_16,-0.00048468583855400987
str_seg_17,-0.0010735368026929828
max_str_seg,0.0011499976409893756
max_lad_str,0.0035455372049288613
max_lcx_str,0.00021702297923978327
max_rca_str,-0.001535738486314124
non-zero pet segs,-0.0006534907474186208
