,0
sex,-0.0011687771287250228
age,0.0010726417917990435
bmi,-0.0012135686684082727
smoking,0.0004685653913391927
diabetes,0.0009079037941637444
hypertension,-0.00039488873896642183
dyslipidemia,-0.0003317785012922086
chestpain,0.0008001985405610128
dyspnea,-0.00045250656897910654
str_seg_1,-0.008292494689065722
str_seg_4,-0.0051511397886601865
str_seg_5,-0.001293089687853005
str_seg_6,0.0032031042102143117
str_seg_7,0.0043327666686625
str_seg_8,0.005189762568984048
str_seg_9,0.0010342202570992546
str_seg_10,-0.0020782703023885037
str_seg_11,0.003453029893815511
str_seg_12,-0.0016166494902435547
str_seg_13,-0.0035083252996965263
str_seg_14,0.002153047678605317
str_seg_15,0.0028447908808271307
str_seg_16,-0.0019307787382251249
str_seg_17,-0.0013912129229424245
max_str_seg,0.00814525266771064
max_lad_str,-0.000548183183089002
max_lcx_str,8.305452391186658e-05
max_rca_str,0.0022842804567029806
non-zero pet segs,-0.0010507820621346036
